	segments	length_segment	dep_count_k	dependents_k	head_k	head_kLength	posK	dep_count_p	dependents_p	head_p	head_pLength	posP
2716	and then turn to your right	6	[3]	[{to, and, then}]	['turn']	[1]	['VERB']	[1, 1]	[{right}, {your}]	['turn', 'to']	[1, 1]	['ADP']
2717	continue in a straight line path	6	[3]	[{a, line, straight}]	['in']	[1]	['ADP']	[1, 1]	[{in}, {path}]	['continue', 'continue']	[1, 1]	['VERB']
2718	at a point you will find aki to your right a little far away from you	16	[6, 2]	[{will, to, away, aki, at, you}, {far, from}]	['find', 'find']	[1, 1]	['VERB']	[1, 1, 1, 1, 1, 1, 1]	[{point}, {a}, {right}, {your}, {a}, {little}, {you}]	['find', 'at', 'find', 'to', 'far', 'away', 'away']	[1, 1, 1, 1, 1, 1, 1]	['ADV']
2719	still continue going in the straight line	7	[2, 2]	[{still, going}, {straight, the}]	['continue', 'in']	[1, 1]	['ADP']	[1, 1]	[{in}, {line}]	['continue', 'going']	[1, 1]	['VERB']
2720	you will find a blue dot to your right stop there	11	[4, 3, 2]	[{will, there, dot, you}, {to, blue, a}, {your, right}]	['find', 'find', 'to']	[1, 1, 1]	['ADP']	[1]	[{stop}]	['dot']	[1]	['NOUN']
2721	turn to your right	4	[]	[]	[]	[]	[]	[1, 1, 1]	[{to}, {right}, {your}]	['turn', 'turn', 'to']	[1, 1, 1]	['ADP']
2722	reach the blue dot which is your destination	8	[3, 2]	[{is, blue, the}, {destination, which}]	['reach', 'dot']	[1, 1]	['NOUN']	[1, 1]	[{dot}, {your}]	['reach', 'is']	[1, 1]	['VERB']
2723	mok move ahead	3	[2]	[{mok, ahead}]	['move']	[1]	['NOUN']	[]	[]	[]	[]	[]
2724	you will find a blue dot which is your destination stop there	12	[3, 3, 2, 2]	[{you, stop, will}, {is, blue, a}, {destination, which}, {there, dot}]	['find', 'stop', 'dot', 'find']	[1, 1, 1, 1]	['VERB']	[1]	[{your}]	['is']	[1]	['VERB']
2725	mok move ahead	3	[2]	[{mok, ahead}]	['move']	[1]	['NOUN']	[]	[]	[]	[]	[]
2726	you will find aki in front of you	8	[4]	[{will, you, aki, in}]	['find']	[1]	['VERB']	[1, 1, 1]	[{front}, {of}, {you}]	['find', 'in', 'front']	[1, 1, 1]	['NOUN']
2727	when you are pretty close to aki stop there	9	[3, 2, 2]	[{when, close, you}, {aki, pretty}, {there, are}]	['stop', 'are', 'stop']	[1, 1, 1]	['VERB']	[1]	[{to}]	['close']	[1]	['ADJ']
2728	turn to your right	4	[]	[]	[]	[]	[]	[1, 1, 1]	[{to}, {right}, {your}]	['turn', 'turn', 'to']	[1, 1, 1]	['ADP']
2729	continue moving in a straight line path	7	[3]	[{line, straight, a}]	['in']	[1]	['ADP']	[1, 1, 1]	[{moving}, {in}, {path}]	['continue', 'continue', 'moving']	[1, 1, 1]	['VERB']
2730	you will find a blue dot to your left stop there	11	[3, 3, 2]	[{will, stop, you}, {to, a, blue}, {dot, there}]	['find', 'stop', 'find']	[1, 1, 1]	['VERB']	[1, 1]	[{left}, {your}]	['dot', 'to']	[1, 1]	['ADP']
2731	turn to your left	4	[]	[]	[]	[]	[]	[1, 1, 1]	[{to}, {left}, {your}]	['turn', 'turn', 'to']	[1, 1, 1]	['ADP']
2732	reach the blue dot which is your destination	8	[3, 2]	[{is, blue, the}, {which, destination}]	['reach', 'dot']	[1, 1]	['NOUN']	[1, 1]	[{dot}, {your}]	['reach', 'is']	[1, 1]	['VERB']
2733	mok turn to your right	5	[2]	[{mok, to}]	['turn']	[1]	['NOUN']	[1, 1]	[{right}, {your}]	['turn', 'to']	[1, 1]	['ADP']
2734	move ahead you will find a blue dot stop there	10	[4, 4]	[{will, stop, you, move}, {there, dot, a, blue}]	['find', 'find']	[1, 1]	['VERB']	[1]	[{ahead}]	['find']	[1]	['VERB']
2735	mok move ahead	3	[2]	[{ahead, mok}]	['move']	[1]	['NOUN']	[]	[]	[]	[]	[]
2736	turn to your right	4	[]	[]	[]	[]	[]	[1, 1, 1]	[{to}, {right}, {your}]	['turn', 'turn', 'to']	[1, 1, 1]	['ADP']
2737	you will find a blue dot	6	[3, 2]	[{will, you, dot}, {a, blue}]	['find', 'find']	[1, 1]	['VERB']	[]	[]	[]	[]	[]
2738	move towards the blue dot and stop there	8	[3, 2]	[{and, towards, stop}, {the, blue}]	['move', 'towards']	[1, 1]	['ADP']	[1, 1]	[{dot}, {there}]	['move', 'move']	[1, 1]	['VERB']
2739	that is your destination	4	[2]	[{destination, that}]	['is']	[1]	['VERB']	[1]	[{your}]	['is']	[1]	['VERB']
2740	mok move ahead	3	[2]	[{mok, ahead}]	['move']	[1]	['NOUN']	[]	[]	[]	[]	[]
2741	you will find a blue dot to your right stop there	11	[4, 3, 2]	[{will, you, there, dot}, {a, blue, to}, {right, your}]	['find', 'find', 'to']	[1, 1, 1]	['ADP']	[1]	[{stop}]	['dot']	[1]	['NOUN']
2742	turn to your right	4	[]	[]	[]	[]	[]	[1, 1, 1]	[{to}, {right}, {your}]	['turn', 'turn', 'to']	[1, 1, 1]	['ADP']
2743	move towards the blue dot that is your destination	9	[3, 2]	[{blue, the, is}, {destination, that}]	['towards', 'dot']	[1, 1]	['NOUN']	[1, 1, 1]	[{towards}, {dot}, {your}]	['move', 'move', 'is']	[1, 1, 1]	['VERB']
2744	mok turn to your right	5	[2]	[{mok, to}]	['turn']	[1]	['NOUN']	[1, 1]	[{right}, {your}]	['turn', 'to']	[1, 1]	['ADP']
2745	move ahead	2	[]	[]	[]	[]	[]	[1]	[{ahead}]	['move']	[1]	['VERB']
2746	and then turn to your right again	7	[4]	[{and, to, again, then}]	['turn']	[1]	['VERB']	[1, 1]	[{right}, {your}]	['turn', 'to']	[1, 1]	['ADP']
2747	and then continue moving in a straight line path at a point	12	[3, 2, 3]	[{then, moving, and}, {in, at}, {a, line, straight}]	['continue', 'continue', 'in']	[1, 1, 1]	['ADP']	[1, 1, 1]	[{path}, {point}, {a}]	['moving', 'moving', 'at']	[1, 1, 1]	['ADP']
2748	you will find aki to your right little far away	10	[6]	[{aki, will, you, away, far, to}]	['find']	[1]	['VERB']	[1, 1, 1]	[{right}, {your}, {little}]	['find', 'to', 'find']	[1, 1, 1]	['VERB']
2749	then continue moving in the straight line path till you find a blue dot to your right stop there	19	[2, 2, 3, 4, 3, 2]	[{then, moving}, {find, in}, {the, line, straight}, {till, there, you, dot}, {blue, a, to}, {right, your}]	['continue', 'continue', 'in', 'moving', 'find', 'to']	[1, 1, 1, 1, 1, 1]	['ADP']	[1, 1]	[{path}, {stop}]	['moving', 'dot']	[1, 1]	['NOUN']
2750	turn to your right	4	[]	[]	[]	[]	[]	[1, 1, 1]	[{to}, {right}, {your}]	['turn', 'turn', 'to']	[1, 1, 1]	['ADP']
2751	reach the blue dot	4	[2]	[{the, blue}]	['reach']	[1]	['VERB']	[1]	[{dot}]	['reach']	[1]	['VERB']
2752	mok turn to your left	5	[2]	[{to, mok}]	['turn']	[1]	['NOUN']	[1, 1]	[{left}, {your}]	['turn', 'to']	[1, 1]	['ADP']
2753	move ahead you will find a blue dot	8	[4, 2]	[{you, dot, will, move}, {a, blue}]	['find', 'find']	[1, 1]	['VERB']	[1]	[{ahead}]	['find']	[1]	['VERB']
2754	stop there that is your destination	6	[2, 2]	[{there, is}, {destination, that}]	['stop', 'stop']	[1, 1]	['VERB']	[1]	[{your}]	['is']	[1]	['VERB']
2755	mok about turn	3	[]	[]	[]	[]	[]	[1, 1]	[{about}, {turn}]	['mok', 'mok']	[1, 1]	['VERB']
2756	move ahead you will find a blue dot that is your destination	12	[4, 3, 2]	[{will, move, dot, you}, {blue, a, is}, {destination, that}]	['find', 'find', 'dot']	[1, 1, 1]	['NOUN']	[1, 1]	[{ahead}, {your}]	['find', 'is']	[1, 1]	['VERB']
2757	mok turn to your right	5	[2]	[{mok, to}]	['turn']	[1]	['NOUN']	[1, 1]	[{right}, {your}]	['turn', 'to']	[1, 1]	['ADP']
2758	move ahead you will find a blue dot that is your destination	12	[4, 3, 2]	[{will, you, dot, move}, {is, a, blue}, {destination, that}]	['find', 'find', 'dot']	[1, 1, 1]	['NOUN']	[1, 1]	[{ahead}, {your}]	['find', 'is']	[1, 1]	['VERB']
2759	mok move ahead little bit	5	[3]	[{ahead, mok, bit}]	['move']	[1]	['VERB']	[1]	[{little}]	['move']	[1]	['VERB']
2760	and then turn to your right	6	[3]	[{then, and, to}]	['turn']	[1]	['VERB']	[1, 1]	[{right}, {your}]	['turn', 'to']	[1, 1]	['ADP']
2761	move ahead in a straight line path	7	[2, 3]	[{ahead, in}, {a, line, straight}]	['move', 'in']	[1, 1]	['ADP']	[1]	[{path}]	['move']	[1]	['VERB']
2762	you will find aki to your right at some point	10	[5]	[{will, you, at, to, aki}]	['find']	[1]	['VERB']	[1, 1, 1, 1]	[{right}, {your}, {point}, {some}]	['find', 'to', 'find', 'at']	[1, 1, 1, 1]	['ADP']
2763	continue moving in the straight line path	7	[3]	[{straight, the, line}]	['in']	[1]	['ADP']	[1, 1, 1]	[{moving}, {in}, {path}]	['continue', 'continue', 'moving']	[1, 1, 1]	['VERB']
2764	then you will find a blue dot to your right stop there	12	[5, 3, 2]	[{will, then, you, there, dot}, {to, a, blue}, {your, right}]	['find', 'find', 'to']	[1, 1, 1]	['ADP']	[1]	[{stop}]	['dot']	[1]	['NOUN']
2765	turn to your right	4	[]	[]	[]	[]	[]	[1, 1, 1]	[{to}, {right}, {your}]	['turn', 'turn', 'to']	[1, 1, 1]	['ADP']
2766	move towards the blue dot which is your destination	9	[3, 2]	[{is, blue, the}, {destination, which}]	['towards', 'dot']	[1, 1]	['NOUN']	[1, 1, 1]	[{towards}, {dot}, {your}]	['move', 'move', 'is']	[1, 1, 1]	['VERB']
2767	mok turn to your right	5	[2]	[{to, mok}]	['turn']	[1]	['NOUN']	[1, 1]	[{right}, {your}]	['turn', 'to']	[1, 1]	['ADP']
2768	move ahead you will find a blue dot to your right stop there	13	[5, 3, 2]	[{dot, move, you, will, there}, {a, to, blue}, {right, your}]	['find', 'find', 'to']	[1, 1, 1]	['ADP']	[1, 1]	[{ahead}, {stop}]	['find', 'dot']	[1, 1]	['NOUN']
2769	turn to your right	4	[]	[]	[]	[]	[]	[1, 1, 1]	[{to}, {right}, {your}]	['turn', 'turn', 'to']	[1, 1, 1]	['ADP']
2770	move towards the blue dot	5	[2]	[{blue, the}]	['towards']	[1]	['ADP']	[1, 1]	[{towards}, {dot}]	['move', 'move']	[1, 1]	['VERB']
2771	mok turn to your left	5	[2]	[{mok, to}]	['turn']	[1]	['NOUN']	[1, 1]	[{left}, {your}]	['turn', 'to']	[1, 1]	['ADP']
2772	move ahead a little bit	5	[2, 2]	[{bit, ahead}, {little, a}]	['move', 'move']	[1, 1]	['VERB']	[]	[]	[]	[]	[]
2773	and then again turn to your left	7	[4]	[{and, to, then, again}]	['turn']	[1]	['VERB']	[1, 1]	[{left}, {your}]	['turn', 'to']	[1, 1]	['ADP']
2774	continue moving in a straight line path	7	[3]	[{a, straight, line}]	['in']	[1]	['ADP']	[1, 1, 1]	[{moving}, {in}, {path}]	['continue', 'continue', 'moving']	[1, 1, 1]	['VERB']
2775	at some point you will find aki to your left	10	[5]	[{to, aki, will, you, at}]	['find']	[1]	['VERB']	[1, 1, 1, 1]	[{point}, {some}, {left}, {your}]	['find', 'at', 'find', 'to']	[1, 1, 1, 1]	['ADP']
2776	still continue moving in the straight line path	8	[2, 3]	[{still, moving}, {line, straight, the}]	['continue', 'in']	[1, 1]	['ADP']	[1, 1]	[{in}, {path}]	['continue', 'moving']	[1, 1]	['VERB']
2777	you will find a blue dot to your left stop there	11	[3, 3, 2]	[{you, stop, will}, {blue, a, to}, {there, dot}]	['find', 'stop', 'find']	[1, 1, 1]	['VERB']	[1, 1]	[{left}, {your}]	['dot', 'to']	[1, 1]	['ADP']
2778	turn to your left	4	[]	[]	[]	[]	[]	[1, 1, 1]	[{to}, {left}, {your}]	['turn', 'turn', 'to']	[1, 1, 1]	['ADP']
2779	move towards the blue dot	5	[2]	[{blue, the}]	['towards']	[1]	['ADP']	[1, 1]	[{towards}, {dot}]	['move', 'move']	[1, 1]	['VERB']
2780	mok turn to your right	5	[2]	[{to, mok}]	['turn']	[1]	['NOUN']	[1, 1]	[{right}, {your}]	['turn', 'to']	[1, 1]	['ADP']
2781	move towards aki when you are pretty close to aki stop there	12	[3, 3, 2]	[{stop, are, towards}, {when, you, close}, {pretty, aki}]	['move', 'move', 'are']	[1, 1, 1]	['VERB']	[1, 1, 1]	[{aki}, {to}, {there}]	['move', 'close', 'move']	[1, 1, 1]	['VERB']
2782	turn to your right again	5	[2]	[{to, again}]	['turn']	[1]	['VERB']	[1, 1]	[{right}, {your}]	['turn', 'to']	[1, 1]	['ADP']
2783	then move	2	[]	[]	[]	[]	[]	[1]	[{then}]	['move']	[1]	['VERB']
2784	continue in a straight line path	6	[3]	[{a, line, straight}]	['in']	[1]	['ADP']	[1, 1]	[{in}, {path}]	['continue', 'continue']	[1, 1]	['VERB']
2785	you will find a blue dot to your left at some point stop there	14	[5, 3]	[{dot, at, you, will, stop}, {blue, a, to}]	['find', 'find']	[1, 1]	['VERB']	[1, 1, 1, 1, 1]	[{left}, {your}, {point}, {some}, {there}]	['dot', 'to', 'find', 'at', 'find']	[1, 1, 1, 1, 1]	['VERB']
2786	turn to your left reach the blue dot	8	[2, 2]	[{to, reach}, {blue, the}]	['turn', 'reach']	[1, 1]	['VERB']	[1, 1, 1]	[{left}, {your}, {dot}]	['turn', 'to', 'turn']	[1, 1, 1]	['VERB']
2787	mok move ahead a little bit	6	[3, 2]	[{ahead, mok, bit}, {a, little}]	['move', 'move']	[1, 1]	['NOUN']	[]	[]	[]	[]	[]
2788	you will find a blue dot stop there that is your destination	12	[3, 5, 2]	[{you, stop, will}, {a, is, dot, blue, there}, {that, destination}]	['find', 'find', 'stop']	[1, 1, 1]	['NOUN']	[1]	[{your}]	['is']	[1]	['VERB']
2789	mok about turn	3	[]	[]	[]	[]	[]	[1, 1]	[{about}, {turn}]	['mok', 'mok']	[1, 1]	['VERB']
2790	move towards aki	3	[]	[]	[]	[]	[]	[1, 1]	[{towards}, {aki}]	['move', 'move']	[1, 1]	['VERB']
2791	when you are pretty close to aki stop there	9	[3, 2, 2]	[{close, you, when}, {aki, pretty}, {are, there}]	['stop', 'are', 'stop']	[1, 1, 1]	['VERB']	[1]	[{to}]	['close']	[1]	['ADJ']
2792	turn to your right	4	[]	[]	[]	[]	[]	[1, 1, 1]	[{to}, {right}, {your}]	['turn', 'turn', 'to']	[1, 1, 1]	['ADP']
2793	continue in a straight line path	6	[3]	[{a, line, straight}]	['in']	[1]	['ADP']	[1, 1]	[{in}, {path}]	['continue', 'continue']	[1, 1]	['VERB']
2794	you will find a blue dot to your left stop there	11	[3, 3, 2]	[{you, stop, will}, {blue, a, to}, {dot, there}]	['find', 'stop', 'find']	[1, 1, 1]	['VERB']	[1, 1]	[{left}, {your}]	['dot', 'to']	[1, 1]	['ADP']
2795	turn to your left	4	[]	[]	[]	[]	[]	[1, 1, 1]	[{to}, {left}, {your}]	['turn', 'turn', 'to']	[1, 1, 1]	['ADP']
2796	reach the blue dot that is your destination	8	[3, 2]	[{the, blue, is}, {that, destination}]	['reach', 'dot']	[1, 1]	['NOUN']	[1, 1]	[{dot}, {your}]	['reach', 'is']	[1, 1]	['VERB']
2797	mok turn to your left	5	[2]	[{to, mok}]	['turn']	[1]	['NOUN']	[1, 1]	[{left}, {your}]	['turn', 'to']	[1, 1]	['ADP']
2798	move ahead you will find a blue dot to your left stop there	13	[5, 3]	[{stop, will, you, move, dot}, {blue, to, a}]	['find', 'find']	[1, 1]	['VERB']	[1, 1, 1, 1]	[{ahead}, {left}, {your}, {there}]	['find', 'dot', 'to', 'find']	[1, 1, 1, 1]	['VERB']
2799	turn to your left again	5	[2]	[{to, again}]	['turn']	[1]	['VERB']	[1, 1]	[{left}, {your}]	['turn', 'to']	[1, 1]	['ADP']
2800	continue moving in a straight line path till you reach the blue dot which is your destination	17	[2, 3, 3, 3, 2]	[{in, reach}, {straight, a, line}, {dot, you, till}, {blue, is, the}, {which, destination}]	['continue', 'in', 'moving', 'reach', 'dot']	[1, 1, 1, 1, 1]	['NOUN']	[1, 1, 1]	[{moving}, {path}, {your}]	['continue', 'moving', 'is']	[1, 1, 1]	['VERB']
2801	mok turn to your left	5	[2]	[{mok, to}]	['turn']	[1]	['NOUN']	[1, 1]	[{left}, {your}]	['turn', 'to']	[1, 1]	['ADP']
2802	move towards aki	3	[]	[]	[]	[]	[]	[1, 1]	[{towards}, {aki}]	['move', 'move']	[1, 1]	['VERB']
2803	when you are pretty close to aki	7	[3, 2]	[{when, you, close}, {to, pretty}]	['are', 'are']	[1, 1]	['VERB']	[1]	[{aki}]	['close']	[1]	['ADJ']
2804	stop there	2	[]	[]	[]	[]	[]	[1]	[{there}]	['stop']	[1]	['VERB']
2805	turn to your right	4	[]	[]	[]	[]	[]	[1, 1, 1]	[{to}, {right}, {your}]	['turn', 'turn', 'to']	[1, 1, 1]	['ADP']
2806	continue moving in a straight line path	7	[3]	[{line, straight, a}]	['in']	[1]	['ADP']	[1, 1, 1]	[{moving}, {in}, {path}]	['continue', 'continue', 'moving']	[1, 1, 1]	['VERB']
2807	you will find a blue dot to your left	9	[3, 3]	[{dot, you, will}, {blue, a, to}]	['find', 'find']	[1, 1]	['VERB']	[1, 1]	[{left}, {your}]	['dot', 'to']	[1, 1]	['ADP']
2808	at some point stop there	5	[2]	[{at, there}]	['stop']	[1]	['VERB']	[1, 1]	[{point}, {some}]	['stop', 'at']	[1, 1]	['ADP']
2809	turn to your left	4	[]	[]	[]	[]	[]	[1, 1, 1]	[{to}, {left}, {your}]	['turn', 'turn', 'to']	[1, 1, 1]	['ADP']
2810	and reach the blue dot which is your destination	9	[2, 3, 2]	[{and, dot}, {is, blue, the}, {destination, which}]	['reach', 'reach', 'dot']	[1, 1, 1]	['NOUN']	[1]	[{your}]	['is']	[1]	['VERB']
2811	mok move ahead little bit stop	6	[4]	[{bit, ahead, stop, mok}]	['move']	[1]	['VERB']	[1]	[{little}]	['move']	[1]	['VERB']
2812	and then turn to your left	6	[3]	[{and, to, then}]	['turn']	[1]	['VERB']	[1, 1]	[{left}, {your}]	['turn', 'to']	[1, 1]	['ADP']
2813	continue moving in a straight line path	7	[3]	[{line, straight, a}]	['in']	[1]	['ADP']	[1, 1, 1]	[{moving}, {in}, {path}]	['continue', 'continue', 'moving']	[1, 1, 1]	['VERB']
2814	And then you will find aki to your left at some point	12	[7]	[{will, you, then, And, at, to, aki}]	['find']	[1]	['VERB']	[1, 1, 1, 1]	[{left}, {your}, {point}, {some}]	['find', 'to', 'find', 'at']	[1, 1, 1, 1]	['ADP']
2815	still continue to go in the straight line path	9	[2, 2, 3]	[{still, go}, {to, in}, {line, straight, the}]	['continue', 'continue', 'in']	[1, 1, 1]	['ADP']	[1]	[{path}]	['go']	[1]	['VERB']
2816	then you will find a blue dot to your left	10	[4, 3]	[{dot, then, will, you}, {a, blue, to}]	['find', 'find']	[1, 1]	['VERB']	[1, 1]	[{left}, {your}]	['dot', 'to']	[1, 1]	['ADP']
2817	stop there	2	[]	[]	[]	[]	[]	[1]	[{there}]	['stop']	[1]	['VERB']
2818	turn to your left	4	[]	[]	[]	[]	[]	[1, 1, 1]	[{to}, {left}, {your}]	['turn', 'turn', 'to']	[1, 1, 1]	['ADP']
2819	move towards the blue dot which is your destination	9	[3, 2]	[{the, is, blue}, {which, destination}]	['towards', 'dot']	[1, 1]	['NOUN']	[1, 1, 1]	[{towards}, {dot}, {your}]	['move', 'move', 'is']	[1, 1, 1]	['VERB']
2820	mok move ahead towards aki	5	[2]	[{mok, ahead}]	['move']	[1]	['VERB']	[1, 1]	[{towards}, {aki}]	['move', 'ahead']	[1, 1]	['ADV']
2821	And then when you are pretty close to aki stop there	11	[6, 2]	[{And, then, close, aki, when, you}, {to, stop}]	['are', 'are']	[1, 1]	['VERB']	[1, 1]	[{pretty}, {there}]	['are', 'aki']	[1, 1]	['NOUN']
2822	turn to your right	4	[]	[]	[]	[]	[]	[1, 1, 1]	[{to}, {right}, {your}]	['turn', 'turn', 'to']	[1, 1, 1]	['ADP']
2823	continue moving in a straight line path	7	[3]	[{line, a, straight}]	['in']	[1]	['ADP']	[1, 1, 1]	[{moving}, {in}, {path}]	['continue', 'continue', 'moving']	[1, 1, 1]	['VERB']
2824	And you will find a blue dot to your left	10	[4, 3]	[{you, will, And, dot}, {a, to, blue}]	['find', 'find']	[1, 1]	['VERB']	[1, 1]	[{left}, {your}]	['dot', 'to']	[1, 1]	['ADP']
2825	stop there	2	[]	[]	[]	[]	[]	[1]	[{there}]	['stop']	[1]	['VERB']
2826	turn to your left	4	[]	[]	[]	[]	[]	[1, 1, 1]	[{to}, {left}, {your}]	['turn', 'turn', 'to']	[1, 1, 1]	['ADP']
2827	reach the blue dot which is your destination	8	[3, 2]	[{the, is, blue}, {destination, which}]	['reach', 'dot']	[1, 1]	['NOUN']	[1, 1]	[{dot}, {your}]	['reach', 'is']	[1, 1]	['VERB']
2828	mok turn to your right	5	[2]	[{to, mok}]	['turn']	[1]	['NOUN']	[1, 1]	[{right}, {your}]	['turn', 'to']	[1, 1]	['ADP']
2829	move ahead you will find a blue dot to your right	11	[4, 3]	[{will, move, dot, you}, {blue, a, to}]	['find', 'find']	[1, 1]	['VERB']	[1, 1, 1]	[{ahead}, {right}, {your}]	['find', 'dot', 'to']	[1, 1, 1]	['ADP']
2830	stop there	2	[]	[]	[]	[]	[]	[1]	[{there}]	['stop']	[1]	['VERB']
2831	turn to your right	4	[]	[]	[]	[]	[]	[1, 1, 1]	[{to}, {right}, {your}]	['turn', 'turn', 'to']	[1, 1, 1]	['ADP']
2832	continue moving ahead till you reach the blue dot which is your destination	13	[2, 3, 3, 2]	[{reach, ahead}, {dot, till, you}, {blue, the, is}, {destination, which}]	['continue', 'moving', 'reach', 'dot']	[1, 1, 1, 1]	['NOUN']	[1, 1]	[{moving}, {your}]	['continue', 'is']	[1, 1]	['VERB']
2833	mok move ahead	3	[2]	[{ahead, mok}]	['move']	[1]	['NOUN']	[]	[]	[]	[]	[]
2834	you will find a blue dot	6	[3, 2]	[{will, dot, you}, {a, blue}]	['find', 'find']	[1, 1]	['VERB']	[]	[]	[]	[]	[]
2835	stop there that is your destination	6	[2, 2]	[{is, there}, {that, destination}]	['stop', 'stop']	[1, 1]	['VERB']	[1]	[{your}]	['is']	[1]	['VERB']
2836	mok turn to your left	5	[2]	[{to, mok}]	['turn']	[1]	['NOUN']	[1, 1]	[{left}, {your}]	['turn', 'to']	[1, 1]	['ADP']
2837	move ahead you will find a blue dot that is your destination	12	[4, 3, 2]	[{will, move, you, dot}, {is, blue, a}, {destination, that}]	['find', 'find', 'dot']	[1, 1, 1]	['NOUN']	[1, 1]	[{ahead}, {your}]	['find', 'is']	[1, 1]	['VERB']
2838	mok turn to your left	5	[2]	[{mok, to}]	['turn']	[1]	['NOUN']	[1, 1]	[{left}, {your}]	['turn', 'to']	[1, 1]	['ADP']
2839	move towards aki when you are pretty close to aki	10	[2, 3, 2]	[{are, towards}, {you, when, close}, {pretty, to}]	['move', 'move', 'are']	[1, 1, 1]	['VERB']	[1, 1]	[{aki}, {aki}]	['move', 'close']	[1, 1]	['ADJ']
2840	stop there	2	[]	[]	[]	[]	[]	[1]	[{there}]	['stop']	[1]	['VERB']
2841	turn to your right	4	[]	[]	[]	[]	[]	[1, 1, 1]	[{to}, {right}, {your}]	['turn', 'turn', 'to']	[1, 1, 1]	['ADP']
2842	move ahead in a straight line path	7	[2, 3]	[{in, ahead}, {line, straight, a}]	['move', 'in']	[1, 1]	['ADP']	[1]	[{path}]	['move']	[1]	['VERB']
2843	you will find a blue dot to your left stop there	11	[3, 3, 2]	[{will, stop, you}, {to, a, blue}, {dot, there}]	['find', 'stop', 'find']	[1, 1, 1]	['VERB']	[1, 1]	[{left}, {your}]	['dot', 'to']	[1, 1]	['ADP']
2844	turn to your left	4	[]	[]	[]	[]	[]	[1, 1, 1]	[{to}, {left}, {your}]	['turn', 'turn', 'to']	[1, 1, 1]	['ADP']
2845	reach the blue dot	4	[2]	[{blue, the}]	['reach']	[1]	['VERB']	[1]	[{dot}]	['reach']	[1]	['VERB']
2846	Mok turn to your right	5	[2]	[{Mok, to}]	['turn']	[1]	['NOUN']	[1, 1]	[{right}, {your}]	['turn', 'to']	[1, 1]	['ADP']
2847	move ahead you will reach aki	6	[4]	[{will, you, move, aki}]	['reach']	[1]	['VERB']	[1]	[{ahead}]	['reach']	[1]	['VERB']
2848	when you are pretty close to aki stop there	9	[3, 2, 2]	[{when, you, close}, {pretty, aki}, {are, there}]	['stop', 'are', 'stop']	[1, 1, 1]	['VERB']	[1]	[{to}]	['close']	[1]	['ADJ']
2849	turn to your right	4	[]	[]	[]	[]	[]	[1, 1, 1]	[{to}, {right}, {your}]	['turn', 'turn', 'to']	[1, 1, 1]	['ADP']
2850	then move ahead little bit	5	[3]	[{then, ahead, bit}]	['move']	[1]	['VERB']	[1]	[{little}]	['move']	[1]	['VERB']
2851	then turn to your left	5	[2]	[{to, then}]	['turn']	[1]	['VERB']	[1, 1]	[{left}, {your}]	['turn', 'to']	[1, 1]	['ADP']
2852	continue moving ahead you will find a blue dot to your left stop there	14	[5, 3]	[{will, dot, you, continue, stop}, {a, blue, to}]	['find', 'find']	[1, 1]	['VERB']	[1, 1, 1, 1, 1]	[{moving}, {ahead}, {left}, {your}, {there}]	['find', 'continue', 'dot', 'to', 'find']	[1, 1, 1, 1, 1]	['VERB']
2853	turn to your left	4	[]	[]	[]	[]	[]	[1, 1, 1]	[{to}, {left}, {your}]	['turn', 'turn', 'to']	[1, 1, 1]	['ADP']
2854	reach the blue dot	4	[2]	[{the, blue}]	['reach']	[1]	['VERB']	[1]	[{dot}]	['reach']	[1]	['VERB']
2855	mok i want you to move a few paces forward	10	[3, 4]	[{mok, move, i}, {paces, you, to, forward}]	['want', 'want']	[1, 1]	['VERB']	[1, 1]	[{a}, {few}]	['paces', 'move']	[1, 1]	['VERB']
2856	from where you are without turning around	7	[3]	[{where, without, you}]	['from']	[1]	['ADP']	[1, 1, 1]	[{are}, {turning}, {around}]	['from', 'are', 'without']	[1, 1, 1]	['ADP']
2857	make a sharp right angled turn	6	[2, 2]	[{sharp, right}, {a, angled}]	['turn', 'make']	[1, 1]	['VERB']	[1]	[{turn}]	['make']	[1]	['VERB']
2858	and move rightwards toward aki and stop	7	[3, 2]	[{move, toward, and}, {and, stop}]	['rightwards', 'toward']	[1, 1]	['ADP']	[1]	[{aki}]	['rightwards']	[1]	['NOUN']
2859	when you are a few paces behind her	8	[3, 3]	[{you, when, paces}, {behind, a, few}]	['are', 'are']	[1, 1]	['VERB']	[1]	[{her}]	['paces']	[1]	['NOUN']
2860	you may either face the rear wall or turn around	10	[6, 2]	[{turn, wall, or, either, you, may}, {the, rear}]	['face', 'face']	[1, 1]	['VERB']	[1]	[{around}]	['face']	[1]	['VERB']
2861	but you have to be almost aligned with almost directly aligned with aki	13	[3, 4, 2]	[{aligned, but, you}, {be, to, almost, with}, {with, directly}]	['have', 'have', 'with']	[1, 1, 1]	['ADP']	[1, 1, 1]	[{aligned}, {almost}, {aki}]	['aligned', 'aligned', 'aligned']	[1, 1, 1]	['VERB']
2862	and a few paces behind thank you	7	[3]	[{and, behind, few}]	['paces']	[1]	['NOUN']	[1, 1, 1]	[{a}, {thank}, {you}]	['paces', 'paces', 'behind']	[1, 1, 1]	['ADV']
