trans_info	Unnamed: 2	instruction_segment	instruction_segment.1	Instruction	Instruction2
853		put about two yards between yourself			put about two yards between yourself
853		and aki get yourself in perfect alignment with aki ']			and aki get yourself in perfect alignment with aki ']
853		['and then move a few paces to the right ']	and then move a few paces to the right	and then move a few paces to the right 	['and then move a few paces to the right ']
853		[' so from where you are to a point directly behind aki	so from where you are to a point directly behind aki you should be touching aki	 so from where you are to a point directly behind aki you should be touching aki 	[' so from where you are to a point directly behind aki
853		you should be touching aki ']			you should be touching aki ']
853		['and then move about two yards leftward	then move about two yards leftward toward the left hand wall of the room get yourself directly aligned with aki	and then move about two yards leftward toward the left hand wall of the room get yourself directly aligned with aki 	['and then move about two yards leftward
853		 toward the left hand wall of the room			 toward the left hand wall of the room get yourself directly aligned with aki ']
853		get yourself directly aligned with aki ']			
853		['and then move rightward from that straight line	and then move rightward from that straight line about a few paces and stop thank you	and then move rightward from that straight line about a few paces and stop thank you 	['and then move rightward from that straight line about a few paces and stop thank you ']
853		about a few paces and stop thank you ']			
854		"['"" mok i want you to move toward where aki is"	mok i want you to move toward where aki is and occupy a position halfway between where you are now and where aki is now you are more or less in a straight line now move along that line in aki's direction and stop at the midpoint of the line between where you are now and where she is now thank you	""" mok i want you to move toward where aki is and occupy a position halfway between where you are now and where aki is now you are more or less in a straight line now move along that line in akis direction and stop at the midpoint of the line between where you are now and where she is now thank you """	"['"" mok i want you to move toward where aki is and occupy a position halfway between where you are now and where aki is"
854		and occupy a position halfway between where you are now and where aki is			
854		now you are more or less in a straight line			now you are more or less in a straight line
854		now move along that line in akis direction			now move along that line in akis direction
854		and stop at the midpoint of the line			"and stop at the midpoint of the line between where you are now and where she is now thank you ""']"
854		"between where you are now and where she is now thank you ""']"			
855		[' mok again i want you to get move toward aki			[' mok again i want you to get move toward aki
855		get yourself in a position side by side with her			get yourself in a position side by side with her keep moving forwards
855		keep moving forwards toward the left hand wall of the room			
855		and get yourself into direct alignment with her			toward the left hand wall of the room
855		with about two yards between the two of you ']			and get yourself into direct alignment with her with about two yards between the two of you ']
855		['and then move out of alignment by a few paces	and then move out of alignment by a few paces move rightward a few paces	and then move out of alignment by a few paces move rightward a few paces 	['and then move out of alignment by a few paces
855		move rightward a few paces ']			move rightward a few paces ']
856		[' so position yourself adjacent to aki	so position yourself adjacent to aki move forwards toward the left hand wall of the room	 so position yourself adjacent to aki move forwards toward the left hand wall of the room 	[' so position yourself adjacent to aki
856		move forwards toward the left hand wall of the room ']			move forwards toward the left hand wall of the room ']
856		['and then when you are about two yards	and then when you when you are about two yards in front of aki and directly in line with her move a few paces to the right and stop	and then when you when you are about two yards in front of aki and directly in line with her move a few paces to the right and stop 	['and then when you are about two yards
856		in front of aki and directly in line with her			in front of aki and directly in line with her move a few paces to the right and stop ']
856		move a few paces to the right and stop ']			
857		[' mok turn around ']	mok turn around	 mok turn around 	[' mok turn around ']
857		[' and move along a diagonal away from the back of the room	and move along a diagonal away from the back of the room till you are about two yards in front of aki and directly aligned with her	 and move along a diagonal away from the back of the room till you are about two yards in front of aki and directly aligned with her 	[' and move along a diagonal away from the back of the room
857		till you are about two yards in front of aki and directly aligned with her ']			till you are about two yards in front of aki and directly aligned with her ']
857		['and then step a few paces to your left and stop ']	then step a few paces to your left and stop	and then step a few paces to your left and stop 	['and then step a few paces to your left and stop ']
858		[' so along a diagonal till you are two feet in front of aki that is to say	so along a diagonal till you are two feet in front of aki that is to say she should be closer to the rear wall of the room	 so along a diagonal till you are two feet in front of aki that is to say she should be closer to the rear wall of the room 	[' so along a diagonal till you are two feet in front of aki that is to say
858		she should be closer to the rear wall of the room ']			she should be closer to the rear wall of the room ']
858		[' and once you are in direct alignment with her	and once you are in direct alignment with her then move a few paces to your left and stop	 and once you are in direct alignment with her, move a few paces to your left and stop 	[' and once you are in direct alignment with her
858		 move a few paces to your left and stop ']	and once you are in direct alignment with her then move a few paces to your left and stop	 and once you are in direct alignment with her, move a few paces to your left and stop 	 move a few paces to your left and stop ']
859		[' mok i want you to move in a straight line toward aki	mok i want you to move in a straight line toward aki and get to the point thats midway between where you are now and where aki is positioned now		
859		and get to the point		 mok i want you to move in a straight line toward aki and get to the point thats midway between where you are now and where aki is positioned now 	[' mok i want you to move in a straight line toward aki and get to the point
859		thats midway between where you are now			
859		and where aki is positioned now ']			thats midway between where you are now and where aki is positioned now ']
859		[' so along that line you are more or less in a straight line	so along that line you are more or less in a straight line you and aki move toward aki but stop midway between where you are now on that line and where she is now thank you		
859		you and aki move toward aki		 so along that line you are more or less in a straight line you and aki move toward aki but stop midway between where you are now on that line and where she is now thank you 	[' so along that line you are more or less in a straight line
859		but stop midway between where you are now on that line			you and aki move toward aki
859		and where she is now thank you ']			but stop midway between where you are now on that line and where she is now thank you ']
860		[' mok i want you to move toward aki	mok i want you to move toward aki position yourself side by side with her	 mok i want you to move toward aki position yourself side by side with her 	[' mok i want you to move toward aki
860		position yourself side by side with her ']			position yourself side by side with her ']
860		['and then move forwards toward the left hand wall of the room	then move forwards toward the left hand wall of the room so that you are about two yards in front of aki and directly aligned	and then move forwards toward the left hand wall of the room so that you are about two yards in front of aki and directly aligned 	['and then move forwards toward the left hand wall of the room
860		so that you are about two yards in front of aki and directly aligned ']			so that you are about two yards in front of aki and directly aligned ']
860		[' and from that position move a few paces to your right and stop ']	and from that position move a few paces to your right and stop	 and from that position move a few paces to your right and stop 	[' and from that position move a few paces to your right and stop ']
861		[' so move toward aki	so move toward aki position yourself side by side keep moving forwards till you are about two feet in front of aki and you should be closer to the left hand wall of the room get yourself directly in alignment with aki	 so move toward aki position yourself side by side keep moving forwards till you are about two feet in front of aki and you should be closer to the left hand wall of the room get yourself directly in alignment with aki 	[' so move toward aki
861		position yourself side by side			position yourself side by side
861		keep moving forwards till you are about two feet in front of aki			keep moving forwards till you are about two feet in front of aki
861		and you should be closer to the left hand wall of the room			and you should be closer to the left hand wall of the room
861		get yourself directly in alignment with aki ']			get yourself directly in alignment with aki ']
861		['and then move a few paces to your right thank you ']	and then move a few paces to your right thank you	and then move a few paces to your right thank you 	['and then move a few paces to your right thank you ']
862		[' mok i want you to turn around ']	mok i want you to turn around	 mok i want you to turn around 	[' mok i want you to turn around ']
862		[' and move in a diagonal again as you have done before	and move in a diagonal again as you have done before and get yourself to a point that is two yards in front of aki and directly in alignment that is to say she should be closer to the rear wall of the room	 and move in a diagonal again as you have done before and get yourself to a point that is two yards in front of aki and directly in alignment that is to say she should be closer to the rear wall of the room 	[' and move in a diagonal again as you have done before
862		and get yourself to a point			and get yourself to a point that is two yards in front of aki
862		that is two yards in front of aki			
862		and directly in alignment			and directly in alignment that is to say she should be closer to the rear wall of the room ']
862		that is to say she should be closer to the rear wall of the room ']			
862		[' and once you are directly in alignment with her	and once you are directly in alignment with her and two yards in front of her move a few paces to your left and stop thank you	 and once you are directly in alignment with her and two yards in front of her move a few paces to your left and stop thank you 	[' and once you are directly in alignment with her and two yards in front of her
862		and two yards in front of her			
862		move a few paces to your left and stop thank you ']			move a few paces to your left and stop thank you ']
863		[' mok i want you to move to toward aki	mok i want you to move to to toward aki get yourself just next to her and then keep moving forwards toward the left hand wall of the room so that you are about two yards in front of aki		
863		get yourself just next to her			
863		 keep moving forwards toward the left hand wall of the room	mok i want you to move to to toward aki get yourself just next to her and then keep moving forwards toward the left hand wall of the room so that you are about two yards in front of aki	 mok i want you to move to to toward aki get yourself just next to her, keep moving forwards toward the left hand wall of the room so that you are about two yards in front of aki 	[' mok i want you to move to toward aki
863		so that you are about two yards in front of aki ']			get yourself just next to her
863		['and then when you are directly aligned	and then when you are directly aligned and two yards in front of aki that is two yards closer to the left hand wall of the room then her then move a few paces to your right and stop	 mok i want you to move to to toward aki get yourself just next to her, keep moving forwards toward the left hand wall of the room so that you are about two yards in front of aki 	 keep moving forwards toward the left hand wall of the room
863		and two yards in front of aki			
863		that is two yards closer to the left hand wall of the room			so that you are about two yards in front of aki ']
863		 move a few paces to your right and stop ']	and then when you are directly aligned and two yards in front of aki that is two yards closer to the left hand wall of the room then her then move a few paces to your right and stop	and then when you are directly aligned and two yards in front of aki that is two yards closer to the left hand wall of the room, her, move a few paces to your right and stop 	['and then when you are directly aligned and two yards in front of aki
864		[' so first get yourself side by side with aki ']	and then when you are directly aligned and two yards in front of aki that is two yards closer to the left hand wall of the room then her then move a few paces to your right and stop		that is two yards closer to the left hand wall of the room
864		['and then move about for about two yards	so first get yourself side by side with aki	and then when you are directly aligned and two yards in front of aki that is two yards closer to the left hand wall of the room, her, move a few paces to your right and stop 	 move a few paces to your right and stop ']
864		toward the left hand wall of the room		and then when you are directly aligned and two yards in front of aki that is two yards closer to the left hand wall of the room, her, move a few paces to your right and stop 	[' so first get yourself side by side with aki ']
864		you should be closer to that wall than she ']		 so first get yourself side by side with aki 	['and then move about for about two yards
864		['and then once you are directly in alignment with her	then move about for about two yards toward the left hand wall of the room you should be closer to that wall than she		toward the left hand wall of the room
864		and two yards in front of her			
864		move a few paces to your right and stop ']			you should be closer to that wall than she ']
865		[' mok i want you to turn around ']	and then once you are directly in alignment with her and two yards in front of her move a few paces to your right and stop	and then move about for about two yards toward the left hand wall of the room you should be closer to that wall than she 	['and then once you are directly in alignment with her and two yards in front of her
865		['and move in akis direction			move a few paces to your right and stop ']
865		observe that you are on a more or less along the same straight line		and then once you are directly in alignment with her and two yards in front of her move a few paces to your right and stop 	[' mok i want you to turn around ']
865		now get to the mid point of that line			['and move in akis direction
865		the line between where you are now			observe that you are on a more or less along the same straight line
865		and where she is now and then stop			
866		['so toward aki get to the point midway between where she is now	mok i want you to turn around		now get to the mid point of that line
866		and where you are now			the line between where you are now and where she is now and then stop
866		[' mok i want you to face the rear wall of the room ']	mok i want you to face the rear wall of the room	 mok i want you to turn around 	['so toward aki get to the point midway between where she is now
866		[' move toward it a few paces	move toward it a few paces maybe a foot and a half or so		and where you are now
866		maybe a foot and a half or so ']			
866		[' make sharp turn right ']	make sharp turn right	 mok i want you to face the rear wall of the room 	[' mok i want you to face the rear wall of the room ']
866		"['"" come in akis direction"	come in aki's direction get into alignment into direct alignment with aki	 move toward it a few paces maybe a foot and a half or so 	[' move toward it a few paces maybe a foot and a half or so ']
866		"get into alignment into direct alignment with aki ""']"			
866		['and then move a few paces back	and then move a few paces back just a few paces back	 make sharp turn right 	[' make sharp turn right ']
867		[' so again turn around and face the rear wall ']	so again turn around and face the rear wall	""" come in akis direction get into alignment into direct alignment with aki """	"['"" come in akis direction get into alignment into direct alignment with aki ""']"
867		[' move toward it about a foot and a half ']	move toward it about a foot and a half	and then move a few paces back just a few paces back 	['and then move a few paces back just a few paces back ']
867		['and then make a sharp turn right ']	then make a sharp turn right	 so again turn around and face the rear wall 	[' so again turn around and face the rear wall ']
867		['and get to move in akis direction and stop	and get to get move in move in aki's direction and stop when you are in perfect alignment with her	 move toward it about a foot and a half 	[' move toward it about a foot and a half ']
867		when you are in perfect alignment with her']		and then make a sharp turn right 	['and then make a sharp turn right ']
867		['and then move a few paces back ']	and then move a few paces back	""" and get to get move in move in akis direction and stop when you are in perfect alignment with her """	['and get to get move in move in akis direction and stop
868		[' mok again i want you to do more or less what you did the last time	mok again i want you to do more or less what you did the last time i want you to do exactly as you did the last time back about a foot and a half from where you are toward the rear wall of the room	 mok again i want you to do more or less what you did the last time i want you to do exactly as you did the last time back about a foot and a half from where you are toward the rear wall of the room 	[' mok again i want you to do more or less what you did the last time
868		i want you to do exactly as you did the last time			i want you to do exactly as you did the last time
868		back about a foot and a half from where you are toward the rear wall of the room ']			back about a foot and a half from where you are toward the rear wall of the room ']
868		 sharp turn right that would be toward aki 	sharp turn right that would be toward aki	 sharp turn right that would be toward aki 	[' sharp turn right that would be toward aki ']
868		 and get yourself in perfect alignment with aki 	and get yourself in perfect alignment with aki	 and get yourself in perfect alignment with aki 	[' and get yourself in perfect alignment with aki ']
868		 and then move a few paces back 	and then move a few paces back	and then move a few paces back 	['and then move a few paces back ']
869		 so back about a foot and a half toward the rear wall of the room 	so back about a foot and a half toward the rear wall of the room	 so back about a foot and a half toward the rear wall of the room 	[' so back about a foot and a half toward the rear wall of the room ']
869		 sharp turn toward aki 	sharp turn toward aki	 sharp turn toward aki 	[' sharp turn toward aki ']
869		[' get yourself in perfect alignment with aki ']	get yourself in perfect alignment with aki	 get yourself in perfect alignment with aki 	[' get yourself in perfect alignment with aki ']
869		 move a few paces back thank you ']	and then move a few paces back thank you	 , move a few paces back thank you 	 move a few paces back thank you ']
870		[' mok i want you to move toward aki along the straight line	mok i want you to move toward aki along the straight line between you and aki and stop midway between where you are now and where she is now	 mok i want you to move toward aki along the straight line between you and aki and stop midway between where you are now and where she is now 	[' mok i want you to move toward aki along the straight line
870		between you and aki and stop midway			between you and aki and stop midway between where you are now and where she is now ']
870		between where you are now and where she is now ']			
871		[' so turn toward aki ']	so turn toward aki	 so turn toward aki 	[' so turn toward aki ']
871		[' and move along the straight line between yourself and aki	and move along the straight line between yourself and aki stop halfway between where you are now and where she is thank you	 and move along the straight line between yourself and aki stop halfway between where you are now and where she is thank you 	[' and move along the straight line between yourself and aki
871		stop halfway between where you are now and where she is thank you ']			stop halfway between where you are now and where she is thank you ']
872		[' mok again a few paces toward the rear wall of the room	mok again a few paces toward the rear wall of the room say a foot and a half	 mok again a few paces toward the rear wall of the room say a foot and a half 	[' mok again a few paces toward the rear wall of the room say a foot and a half ']
		say a foot and a half ']			
872		['and then make a sharp turn right ']	then make a sharp turn right	and then make a sharp turn right 	['and then make a sharp turn right ']
872		[' come toward aki	come toward aki get yourself in a position a foot and a half away from her and perfectly aligned with her	 come toward aki get yourself in a position a foot and a half away from her and perfectly aligned with her 	[' come toward aki get yourself in a position a foot and a half away
872		get yourself in a position a foot and a half away			
872		from her and perfectly aligned with her ']			from her and perfectly aligned with her ']
872		['and then step a few paces back thank you ']	and then step a few paces back thank you	and then step a few paces back thank you 	['and then step a few paces back thank you ']
					
873		[' mok the same thing again	mok the same thing again back a few paces toward the rear wall of the room say a foot and a half	 mok the same thing again back a few paces toward the rear wall of the room say a foot and a half 	[' mok the same thing again back a few paces
873		back a few paces			
873		toward the rear wall of the room			toward the rear wall of the room say a foot and a half ']
873		say a foot and a half ']			
873		[' sharp turn right ']	sharp turn right	 sharp turn right 	[' sharp turn right ']
873		[' get yourself in perfect alignment with aki	get yourself in perfect alignment with aki and about one and a half feet away from her	 get yourself in perfect alignment with aki and about one and a half feet away from her 	[' get yourself in perfect alignment with aki and about one and a half feet away from her ']
873		and about one and a half feet away from her ']			
873		['and then move a few paces back ']	and then move a few paces back	and then move a few paces back 	['and then move a few paces back ']
874		[' so move toward the rear wall of the room ']	so move toward the rear wall of the room	 so move toward the rear wall of the room 	[' so move toward the rear wall of the room ']
874		[' sharp turn right toward aki ']	sharp turn right toward aki	 sharp turn right toward aki 	[' sharp turn right toward aki ']
874		[' get yourself aligned with aki with about a foot	get yourself aligned with aki with about a foot and a half between the two of you you should be closer to the rear wall	 get yourself aligned with aki with about a foot and a half between the two of you you should be closer to the rear wall 	[' get yourself aligned with aki with about a foot
874		and a half between the two of you			and a half between the two of you you should be closer to the rear wall ']
874		you should be closer to the rear wall ']			
874		['and then step a few paces back thank you ']	and then step a few paces back thank you	and then step a few paces back thank you 	['and then step a few paces back thank you ']
					
875		[' mok i want you to move toward aki	mok i want you to move toward aki stop midway between the point where you are now and where she is positioned	 mok i want you to move toward aki stop midway between the point where you are now and where she is positioned 	[' mok i want you to move toward aki stop midway between the point where you are now and where she is positioned ']
875		stop midway between the point where you are now			
875		and where she is positioned ']			
875		[' ok so move toward aki	ok so move toward aki stop at the point midway between where you find yourself now and where she is positioned	 ok so move toward aki stop at the point midway between where you find yourself now and where she is positioned 	[' ok so move toward aki
875		stop at the point midway between where you find yourself now			stop at the point midway between where you find yourself now and where she is positioned ']
875		and where she is positioned ']			
876		[' mok i want you to turn around ']	mok i want you to turn around	 mok i want you to turn around 	[' mok i want you to turn around ']
876		[' and move along a diagonal	and move along a diagonal so that you find yourself in front of aki and about two yards away from her she should be closer to the rear wall of the room when you are two yards in front of her perfectly aligned with her	 and move along a diagonal so that you find yourself in front of aki and about two yards away from her she should be closer to the rear wall of the room when you are two yards in front of her perfectly aligned with her 	[' and move along a diagonal
876		so that you find yourself in front of aki			so that you find yourself in front of aki and about two yards away from her
876		and about two yards away from her			
876		she should be closer to the rear wall of the room			she should be closer to the rear wall of the room
876		when you are two yards in front of her perfectly aligned with her ']			when you are two yards in front of her perfectly aligned with her ']
876		['and then step a few paces to your left and stop thank you ']	then step a few paces to your left and stop thank you	and then step a few paces to your left and stop thank you 	['and then step a few paces to your left and stop thank you ']
					
877		['mok again i want you to move toward aki in a straight line	mok again i want you to move toward aki in a straight line and stop midway between the point where you are now and where she is now	 mok again i want you to move toward aki in a straight line and stop midway between the point where you are now and where she is now 	['mok again i want you to move toward aki in a straight line
877		and stop midway between the point where you are now and where she is now ']			and stop midway between the point where you are now and where she is now ']
877		[' so turn and face aki ']	so turn and face aki	 so turn and face aki 	[' so turn and face aki ']
877		[' and move toward her along the same straight line	and move toward her along the same straight line where you both are now and stop midway between the point where she is and you are now when you start off	 and move toward her along the same straight line where you both are now and stop midway between the point where she is and you are now when you start off 	[' and move toward her along the same straight line
877		where you both are now and stop midway between the point			where you both are now and stop midway between the point
877		where she is and you are now when you start off ']			where she is and you are now when you start off ']
878		[' mok i want you to turn around and face the rear wall of the room ']	mok i want you to turn around and face the rear wall of the room	 mok i want you to turn around and face the rear wall of the room 	[' mok i want you to turn around and face the rear wall of the room ']
878		[' move toward it for about a foot and a half ']	move toward it for about a foot and a half	 move toward it for about a foot and a half 	[' move toward it for about a foot and a half ']
878		['and then make a sharp turn right ']	then make a sharp turn right	and then make a sharp turn right 	['and then make a sharp turn right ']
878		[' and come toward aki	and come toward aki stop when you are perfectly aligned with aki and about a foot and a half away from her you should be closer to the rear wall of the room then from that position of perfect alignment	 and come toward aki stop when you are perfectly aligned with aki and about a foot and a half away from her you should be closer to the rear wall of the room, from that position of perfect alignment 	[' and come toward aki
878		stop when you are perfectly aligned with aki			stop when you are perfectly aligned with aki
878		and about a foot and a half away from her			and about a foot and a half away from her
878		 you should be closer to the rear wall of the room			 you should be closer to the rear wall of the room
878		 move a few paces back and stop 	move a few paces back and stop	 move a few paces back and stop 	[' move a few paces back and stop ']
879		 so again face the rear wall of the room 	so again face the rear wall of the room	 so again face the rear wall of the room 	[' so again face the rear wall of the room ']
879		 move toward it for about a foot and a half 	move toward it for about a foot and a half	 move toward it for about a foot and a half 	[' move toward it for about a foot and a half ']
879		 make a sharp turn right 	make a sharp turn right	 make a sharp turn right 	[' make a sharp turn right ']
879		[' move toward aki	move toward aki stop when you are in perfect alignment with aki and about a foot and a half behind her	 move toward aki stop when you are in perfect alignment with aki and about a foot and a half behind her 	[' move toward aki
879		stop when you are in perfect alignment			stop when you are in perfect alignment
879		with aki and about a foot and a half behind her ']			with aki and about a foot and a half behind her ']
879		['and then step a few paces back ']	and then step a few paces back	and then step a few paces back 	['and then step a few paces back ']
					
					
					
880		[' alright mok its more or less the same thing again	alright mok its more or less the same thing again few paces back from where you are toward the rear wall of the room say a foot and a half	 alright mok its more or less the same thing again few paces back from where you are toward the rear wall of the room say a foot and a half 	[' alright mok its more or less the same thing again
880		few paces back from where you are toward the rear wall of the room			few paces back from where you are toward the rear wall of the room
880		say a foot and a half ']			say a foot and a half ']
880		['and then sharp right toward aki ']	then sharp right toward aki	and then sharp right toward aki 	['and then sharp right toward aki ']
880		['position yourself so that you are perfectly aligned	position yourself so that you are perfectly aligned with her and a few and a foot and a half away from her you should be closer to the rear wall	 position yourself so that you are perfectly aligned with her and a few and a foot and a half away from her you should be closer to the rear wall 	['position yourself so that you are perfectly aligned
880		with her and a few and a foot and a half away from her			with her and a few and a foot and a half away from her
880		you should be closer to the rear wall ']			you should be closer to the rear wall ']
880		[' take a few steps back and stop ']	take a few steps back and stop	 take a few steps back and stop 	[' take a few steps back and stop ']
					
881		[' mok turn around ']	mok turn around	 mok turn around 	[' mok turn around ']
881		[' and move toward aki	and move toward aki get yourself positioned side by side with aki	 and move toward aki get yourself positioned side by side with aki 	[' and move toward aki get yourself positioned side by side with aki ']
881		get yourself positioned side by side with aki ']			
881		[' move forwards toward the left hand wall of the room	move forwards toward the left hand wall of the room so that you are about two yards in front of aki directly aligned	 move forwards toward the left hand wall of the room so that you are about two yards in front of aki directly aligned 	[' move forwards toward the left hand wall of the room
881		so that you are about two yards in front of aki directly aligned ']			so that you are about two yards in front of aki directly aligned ']
881		['and then step a few paces to the right and stop ']	and then step a few paces to the right and stop	and then step a few paces to the right and stop 	['and then step a few paces to the right and stop ']
882		[' so first get yourself side by side with aki	so first get yourself side by side with aki then keep moving toward the left hand wall of the room so that you are about two yards in front of aki perfectly aligned with her you should be two yards closer than she to the rear left hand wall of the room	 so first get yourself side by side with aki, keep moving toward the left hand wall of the room so that you are about two yards in front of aki perfectly aligned with her you should be two yards closer than she to the rear left hand wall of the room 	[' so first get yourself side by side with aki
882		 keep moving toward the left hand wall of the room	so first get yourself side by side with aki then keep moving toward the left hand wall of the room so that you are about two yards in front of aki perfectly aligned with her you should be two yards closer than she to the rear left hand wall of the room	 so first get yourself side by side with aki, keep moving toward the left hand wall of the room so that you are about two yards in front of aki perfectly aligned with her you should be two yards closer than she to the rear left hand wall of the room 	 keep moving toward the left hand wall of the room
882		so that you are about two yards in front of aki perfectly aligned with her			so that you are about two yards in front of aki perfectly aligned with her
882		you should be two yards closer			you should be two yards closer than she to the rear left hand wall of the room ']
882		than she to the rear left hand wall of the room ']			
882		['and then step a few paces to the right and stop ']	then step a few paces to the right and stop	and then step a few paces to the right and stop 	['and then step a few paces to the right and stop ']
					
883		 mok i want you to go forwards	mok i want you to go forwards toward that from where you are towards that rear wall about a foot and a half	 mok i want you to go forwards toward that from where you are towards that rear wall about a foot and a half 	[' mok i want you to go forwards toward that from where you are towards that rear wall about a foot and a half ']
883		toward that from where you are			
883		towards that rear wall about a foot and a half 			
883		 then make a sharp turn right 	then make a sharp turn right	and then make a sharp turn right 	['and then make a sharp turn right ']
883		 and move toward aki align yourself perfectly with her	and move toward aki align yourself perfectly with her there should be about a foot and a half between the two of you	 and move toward aki align yourself perfectly with her there should be about a foot and a half between the two of you 	[' and move toward aki align yourself perfectly with her there should be about a foot and a half between the two of you ']
883		there should be about a foot and a half between the two of you 			
883		 and then from that position step a few paces back 	and then from that position step a few paces back	and then from that position step a few paces back 	['and then from that position step a few paces back ']
884		 so go toward the rear wall of that room for about a foot and a half 	so go toward the rear wall of that room for about a foot and a half	 so go toward the rear wall of that room for about a foot and a half 	[' so go toward the rear wall of that room for about a foot and a half ']
884		 then make a sharp turn right 	then make a sharp turn right	and then make a sharp turn right 	['and then make a sharp turn right ']
884		and move toward aki in a straight line	and move toward aki in a straight line get yourself into perfect alignment with her leaving a foot and a half between you	 and move toward aki in a straight line get yourself into perfect alignment with her leaving a foot and a half between you 	[' and move toward aki in a straight line get yourself into perfect alignment with her leaving a foot and a half between you ']
884		get yourself into perfect alignment with her leaving a foot and a half between you 			
884		 and then step a few paces back thank you 	and then step a few paces back thank you	and then step a few paces back thank you 	['and then step a few paces back thank you ']
					
885		 mok turn around 	mok turn around	 mok turn around 	[' mok turn around ']
885		 and move along a diagonal	and move along a diagonal so that you are about two yards in front of aki and perfectly aligned with her	 and move along a diagonal so that you are about two yards in front of aki and perfectly aligned with her 	[' and move along a diagonal so that you are about two yards in front of aki and perfectly aligned with her ']
885		so that you are about two yards in front of aki			
885		and perfectly aligned with her 			
885		 and then step a few paces to the left	and then step a few paces to the left so that she is closer to the rear wall of the room than you with two yards between you and you should be slightly out of alignment with her	and then step a few paces to the left so that she is closer to the rear wall of the room than you with two yards between you and you should be slightly out of alignment with her 	['and then step a few paces to the left so that she is closer to the rear wall of the room than you with two yards between you and you should be slightly out of alignment with her ']
885		so that she is closer to the rear wall of the room than you with two yards between you			
885		and you should be slightly out of alignment with her 			
885		 ok again along a diagonal two yards in front of aki and perfectly aligned 	ok again along a diagonal two yards in front of aki and perfectly aligned	 ok again along a diagonal two yards in front of aki and perfectly aligned 	[' ok again along a diagonal two yards in front of aki and perfectly aligned ']
885		 and then step a few paces to the left	and then step a few paces to the left she should be closer to the rear wall of the room than you	and then step a few paces to the left she should be closer to the rear wall of the room than you 	['and then step a few paces to the left she should be closer to the rear wall of the room than you ']
885		she should be closer to the rear wall of the room than you 			
886		[' mok move in a straight line more or less straight line toward 	mok move in a straight line more or less straight line toward aki get yourself positioned adjacent to her then keep moving forwards toward the left hand wall of the room put about two yards between yourself and aki get yourself into perfect alignment with her	 mok move in a straight line more or less straight line toward aki get yourself positioned adjacent to her, keep moving forwards toward the left hand wall of the room put about two yards between yourself and aki get yourself into perfect alignment with her 	[' mok move in a straight line more or less straight line toward aki get yourself positioned adjacent to her
886		get yourself positioned adjacent to her			
886		 keep moving forwards toward the left hand wall of the room	mok move in a straight line more or less straight line toward aki get yourself positioned adjacent to her then keep moving forwards toward the left hand wall of the room put about two yards between yourself and aki get yourself into perfect alignment with her	 mok move in a straight line more or less straight line toward aki get yourself positioned adjacent to her, keep moving forwards toward the left hand wall of the room put about two yards between yourself and aki get yourself into perfect alignment with her 	 keep moving forwards toward the left hand wall of the room put about two yards between yourself and aki get yourself into perfect alignment with her ']
886		put about two yards between yourself and aki			
886		get yourself into perfect alignment with her ']			
886		 and then move a few paces to the right 	and then move a few paces to the right	and then move a few paces to the right 	['and then move a few paces to the right ']
887		 so first position yourself side by side with aki 	so first position yourself side by side with aki	 so first position yourself side by side with aki 	[' so first position yourself side by side with aki ']
887		 then move toward the left wall left hand wall of the room	then move toward the left wall left hand wall of the room so that you are closer to it than aki there should be about two yards between the two of you get yourself into perfect alignment and two yards in front of aki	and then move toward the left wall left hand wall of the room so that you are closer to it than aki there should be about two yards between the two of you get yourself into perfect alignment and two yards in front of aki 	['and then move toward the left wall left hand wall of the room so that you are closer to it than aki there should be about two yards between the two of you get yourself into perfect alignment and two yards in front of aki ']
887		so that you are closer to it then			
887		there should be about two yards between the two of you 			
887		get yourself into perfect alignment and two yards in front of aki			
887		 and then move a few paces to the right and stop thank you 	and then move a few paces to the right and stop thank you	and then move a few paces to the right and stop thank you 	['and then move a few paces to the right and stop thank you ']
					
888		 turn left 	turn left	 turn left 	[' turn left ']
888		 go forward half the distance between you and aki 	go forward half the distance between you and aki	 go forward half the distance between you and aki 	[' go forward half the distance between you and aki ']
					
889		 go forward half the distance between you and aki 	go forward half the distance between you and aki	 go forward half the distance between you and aki 	[' go forward half the distance between you and aki ']
					
890		 go forward around aki	go forward around aki and stop two robot lengths behind him	 go forward around aki and stop two robot lengths behind him 	[' go forward around aki and stop two robot lengths behind him ']
890		and stop two robot lengths behind him 			
891		 turn left 	turn left	 turn left 	[' turn left ']
891		 go forward go around aki and stop two robot lengths past him 	go forward go around aki and stop two robot lengths past him	 go forward go around aki and stop two robot lengths past him 	[' go forward go around aki and stop two robot lengths past him ']
					
892		 turn around 	turn around	 turn around 	[' turn around ']
892		 and go forward half the distance between you and aki 	and go forward half the distance between you and aki	 and go forward half the distance between you and aki 	[' and go forward half the distance between you and aki ']
					
893		 turn around 	turn around	 turn around 	[' turn around ']
893		 go forward go around aki	go forward go around aki and stop two robot lengths past him	 go forward go around aki and stop two robot lengths past him 	[' go forward go around aki and stop two robot lengths past him ']
893		and stop two robot lengths past him 			
894		 go forward four robot lengths 	go forward four robot lengths	 go forward four robot lengths 	[' go forward four robot lengths ']
894		 turn left 	turn left	 turn left 	[' turn left ']
894		 and go forward till you are parallel with aki 	and go forward till you are parallel with aki	 and go forward till you are parallel with aki 	[' and go forward till you are parallel with aki ']
					
