	segments	length_segment	dep_count_k	dependents_k	head_k	head_kLength	posK	dep_count_p	dependents_p	head_p	head_pLength	posP	index	depSum_p	depSum_k	headSum_p	headSum_k	cohesion	cohesion_norm	ifmt	inst_len	ifmt_norm
2928	and then from that position of direct alignment	8	[2]	[{that, of}]	['from']	[1]	['ADP']	[1, 1, 1, 1, 1]	[{then}, {from}, {position}, {alignment}, {direct}]	['and', 'and', 'then', 'position', 'of']	[1, 1, 1, 1, 1]	['ADP']	810.0	5	2	5	1	-3	-0.38			
2929	move a few paces to your left and then stop	10	[4]	[{and, paces, to, stop}]	['move']	[1]	['VERB']	[1, 1, 1, 1, 1]	[{a}, {few}, {left}, {your}, {then}]	['paces', 'move', 'move', 'to', 'move']	[1, 1, 1, 1, 1]	['VERB']	810.0	5	4	5	1	-1	-0.1			
2930	mok again i want you to move along a diagonal	10	[4, 3]	[{again, i, mok, move}, {you, along, to}]	['want', 'want']	[1, 1]	['VERB']	[1, 1]	[{diagonal}, {a}]	['move', 'along']	[1, 1]	['ADP']	810.0	2	7	2	2	5	0.5			
2931	turn around	2	[]	[]	[]	[]	[]	[1]	[{around}]	['turn']	[1]	['VERB']	810.0	1	0	1	0	-1	-0.5			
2932	move along a diagonal so that you are aligned with aki	11	[2, 5]	[{along, aligned}, {you, that, so, with, are}]	['move', 'move']	[1, 1]	['VERB']	[1, 1, 1]	[{diagonal}, {a}, {aki}]	['move', 'along', 'aligned']	[1, 1, 1]	['VERB']	810.0	3	7	3	2	4	0.36			
2933	and once you get there move a few paces to your left and stop	14	[4, 5]	[{and, you, once, move}, {and, stop, there, paces, to}]	['get', 'get']	[1, 1]	['VERB']	[1, 1, 1, 1]	[{a}, {few}, {left}, {your}]	['paces', 'move', 'move', 'to']	[1, 1, 1, 1]	['ADP']	810.0	4	9	4	2	5	0.36			
2934	so along a diagonal till you are aligned with aki and about two yards ahead of her	17	[3, 5, 2]	[{diagonal, so, aligned}, {ahead, are, till, you, with}, {yards, of}]	['along', 'along', 'aligned']	[1, 1, 1]	['VERB']	[1, 1, 1, 1, 1, 1]	[{a}, {aki}, {and}, {about}, {two}, {her}]	['along', 'aligned', 'with', 'yards', 'ahead', 'ahead']	[1, 1, 1, 1, 1, 1]	['ADV']	811.0	6	10	6	3	4	0.24			
2935	and then a few paces to your left and stop thank you	12	[6]	[{and, few, to, stop, and, then}]	['paces']	[1]	['NOUN']	[1, 1, 1, 1, 1]	[{a}, {left}, {your}, {thank}, {you}]	['paces', 'paces', 'to', 'paces', 'stop']	[1, 1, 1, 1, 1]	['VERB']	811.0	5	6	5	1	1	0.08			
2936	mok i want you to move toward aki till you find yourself in a position exactly	16	[3, 5, 4]	[{i, mok, move}, {exactly, you, find, to, toward}, {yourself, in, you, till}]	['want', 'want', 'move']	[1, 1, 1]	['VERB']	[1, 1, 1]	[{aki}, {position}, {a}]	['move', 'find', 'in']	[1, 1, 1]	['ADP']	811.0	3	12	3	3	9	0.56			
2937	half way between where aki is and where you find yourself now	12	[2, 4, 4]	[{between, half}, {where, and, find, aki}, {yourself, you, now, where}]	['way', 'between', 'is']	[1, 1, 1]	['VERB']	[1]	[{is}]	['way']	[1]	['NOUN']	811.0	1	10	1	3	9	0.75			
2938	so move toward aki till you are halfway	8	[3, 3]	[{are, toward, so}, {till, halfway, you}]	['move', 'move']	[1, 1]	['VERB']	[1]	[{aki}]	['move']	[1]	['VERB']	812.0	1	6	1	2	5	0.62			
2939	between the point where you are now and the point where aki is now and stop thank you	18	[2, 5, 2, 5]	[{the, are}, {and, now, you, point, where}, {the, is}, {stop, and, now, aki, where}]	['between', 'point', 'are', 'point']	[1, 1, 1, 1]	['NOUN']	[1, 1, 1]	[{point}, {thank}, {you}]	['between', 'is', 'stop']	[1, 1, 1]	['VERB']	812.0	3	14	3	4	11	0.61			
2940	mok turn around and move	5	[4]	[{around, move, and, mok}]	['turn']	[1]	['VERB']	[]	[]	[]	[]	[]	812.0	0	4	0	1	4	0.8			
2941	turn around face forward	4	[3]	[{forward, face, around}]	['turn']	[1]	['VERB']	[]	[]	[]	[]	[]	813.0	0	3	0	1	3	0.75			
2942	move along a diagonal till you are aligned with aki	10	[2, 4]	[{aligned, along}, {with, till, are, you}]	['move', 'move']	[1, 1]	['VERB']	[1, 1, 1]	[{diagonal}, {a}, {aki}]	['move', 'along', 'aligned']	[1, 1, 1]	['VERB']	813.0	3	6	3	2	3	0.3			
2943	and about two yards ahead of her	7	[2]	[{yards, of}]	['and']	[1]	['CCONJ']	[1, 1, 1, 1]	[{ahead}, {about}, {two}, {her}]	['and', 'yards', 'ahead', 'ahead']	[1, 1, 1, 1]	['ADV']	813.0	4	2	4	1	-2	-0.29			
2944	and then once you get there	6	[5]	[{then, and, you, once, there}]	['get']	[1]	['VERB']	[]	[]	[]	[]	[]	813.0	0	5	0	1	5	0.83			
2945	move a few paces to the left and stop thank you	11	[4]	[{to, and, stop, paces}]	['move']	[1]	['VERB']	[1, 1, 1, 1, 1, 1]	[{a}, {few}, {left}, {the}, {thank}, {you}]	['paces', 'move', 'move', 'to', 'move', 'stop']	[1, 1, 1, 1, 1, 1]	['VERB']	814.0	6	4	6	1	-2	-0.18			
2946	mok turn around and face the rear wall	8	[4, 2]	[{around, mok, and, face}, {the, rear}]	['turn', 'face']	[1, 1]	['VERB']	[1]	[{wall}]	['turn']	[1]	['VERB']	814.0	1	6	1	2	5	0.62			
2947	move a few paces toward it	6	[2]	[{few, toward}]	['move']	[1]	['VERB']	[1, 1, 1]	[{paces}, {a}, {it}]	['move', 'paces', 'paces']	[1, 1, 1]	['NOUN']	814.0	3	2	3	1	-1	-0.17			
2948	and then make a sharp right a right angle turn toward aki	12	[3, 3, 2, 2]	[{then, and, right}, {turn, a, sharp}, {a, right}, {angle, toward}]	['make', 'make', 'turn', 'right']	[1, 1, 1, 1]	['NOUN']	[1]	[{aki}]	['turn']	[1]	['NOUN']	814.0	1	10	1	4	9	0.75			
2949	and move till you are directly in front of aki	10	[2, 4]	[{and, are}, {till, you, in, directly}]	['move', 'move']	[1, 1]	['VERB']	[1, 1, 1]	[{front}, {of}, {aki}]	['are', 'in', 'front']	[1, 1, 1]	['NOUN']	814.0	3	6	3	2	3	0.3			
2950	and a few paces maybe a foot or two in front of her that is to say closer than her to the rear wall	24	[3, 6, 2, 2, 2, 2]	[{foot, and, few}, {two, or, in, maybe, is, a}, {that, say}, {to, closer}, {to, than}, {rear, the}]	['paces', 'paces', 'foot', 'is', 'say', 'to']	[1, 1, 1, 1, 1, 1]	['ADP']	[1, 1, 1, 1, 1, 1]	[{a}, {front}, {of}, {her}, {her}, {wall}]	['paces', 'foot', 'in', 'front', 'closer', 'closer']	[1, 1, 1, 1, 1, 1]	['ADJ']	814.0	6	17	6	6	11	0.46			
2951	and get yourself slightly out of alignment with her	9	[4, 2]	[{with, and, out, yourself}, {of, slightly}]	['get', 'get']	[1, 1]	['VERB']	[1, 1]	[{alignment}, {her}]	['out', 'get']	[1, 1]	['VERB']	815.0	2	6	2	2	4	0.44			
2952	move a few paces to your left and stop	9	[2, 3]	[{paces, to}, {and, stop, your}]	['move', 'to']	[1, 1]	['ADP']	[1, 1, 1]	[{a}, {few}, {left}]	['paces', 'move', 'move']	[1, 1, 1]	['VERB']	815.0	3	5	3	2	2	0.22			
2953	so again turn around and face the rear wall	9	[4, 2]	[{face, and, again, around}, {rear, the}]	['turn', 'face']	[1, 1]	['VERB']	[1, 1]	[{so}, {wall}]	['turn', 'turn']	[1, 1]	['VERB']	815.0	2	6	2	2	4	0.44			
2954	a few paces in the direction of that rear wall	10	[2, 2, 2]	[{few, in}, {of, the}, {rear, that}]	['paces', 'in', 'of']	[1, 1, 1]	['ADP']	[1, 1, 1]	[{a}, {direction}, {wall}]	['paces', 'paces', 'direction']	[1, 1, 1]	['NOUN']	815.0	3	6	3	3	3	0.3			
2955	sharp turn right toward aki get almost into perfect alignment with aki	12	[2, 2, 2, 2, 2]	[{sharp, toward}, {right, aki}, {into, turn}, {alignment, almost}, {perfect, with}]	['get', 'turn', 'get', 'get', 'into']	[1, 1, 1, 1, 1]	['ADP']	[1]	[{aki}]	['alignment']	[1]	['NOUN']	815.0	1	10	1	5	9	0.75			
2956	but stop a few paces before that happens thank you	10	[2, 2, 2, 3]	[{paces, but}, {few, a}, {that, before}, {you, happens, stop}]	['thank', 'stop', 'thank', 'thank']	[1, 1, 1, 1]	['VERB']	[]	[]	[]	[]	[]	816.0	0	9	0	4	9	0.9			
2957	mok i want you to get yourself into a position halfway between where you are now and where aki is now	21	[3, 4, 2, 2, 5, 3]	[{mok, get, i}, {into, yourself, you, to}, {a, between}, {are, halfway}, {you, where, now, and, is}, {now, where, aki}]	['want', 'want', 'into', 'position', 'between', 'are']	[1, 1, 1, 1, 1, 1]	['VERB']	[1]	[{position}]	['get']	[1]	['VERB']	816.0	1	19	1	6	18	0.86			
2958	so note where you are now move toward aki	9	[2, 5]	[{so, move}, {you, where, now, are, toward}]	['note', 'note']	[1, 1]	['VERB']	[1]	[{aki}]	['move']	[1]	['VERB']	816.0	1	7	1	2	6	0.67			
2959	so that you are halfway between where she is and where you are now thank you	16	[4, 4, 5]	[{you, so, that, halfway}, {thank, where, and, she}, {now, you, where, you, are}]	['are', 'between', 'is']	[1, 1, 1]	['VERB']	[1, 1]	[{between}, {is}]	['are', 'halfway']	[1, 1]	['ADV']	816.0	2	13	2	3	11	0.69			
2960	mok turn and face the direction which aki turn and face in akis direction	14	[3, 2, 3]	[{and, mok, face}, {the, turn}, {and, aki, face}]	['turn', 'face', 'direction']	[1, 1, 1]	['NOUN']	[1, 1, 1, 1, 1]	[{direction}, {which}, {in}, {direction}, {akis}]	['turn', 'turn', 'turn', 'face', 'in']	[1, 1, 1, 1, 1]	['ADP']	817.0	5	8	5	3	3	0.21			
2961	and move toward her	4	[2]	[{and, toward}]	['move']	[1]	['VERB']	[1]	[{her}]	['move']	[1]	['VERB']	817.0	1	2	1	1	1	0.25			
2962	stopping when you get to a point midway between where she is and where you find yourself now	18	[3, 3, 4, 4]	[{you, to, when}, {a, point, between}, {she, find, and, where}, {where, now, you, yourself}]	['stopping', 'to', 'between', 'is']	[1, 1, 1, 1]	['VERB']	[1, 1, 1]	[{get}, {midway}, {is}]	['stopping', 'get', 'midway']	[1, 1, 1]	['NOUN']	817.0	3	14	3	4	11	0.61			
2963	so move toward aki but stop when you are at a point midway between where you are now and where she is now thank you	25	[4, 4, 5, 5]	[{but, stop, so, toward}, {midway, when, you, at}, {now, thank, where, you, and}, {where, now, she, is, you}]	['move', 'stop', 'between', 'are']	[1, 1, 1, 1]	['VERB']	[1, 1, 1, 1, 1, 1]	[{aki}, {are}, {point}, {a}, {between}, {are}]	['move', 'move', 'are', 'at', 'are', 'midway']	[1, 1, 1, 1, 1, 1]	['NOUN']	818.0	6	18	6	4	12	0.48			
2964	mok move along a diagonal till you get into alignment with aki	12	[3, 4]	[{mok, get, along}, {into, with, you, till}]	['move', 'move']	[1, 1]	['NOUN']	[1, 1, 1, 1]	[{diagonal}, {a}, {alignment}, {aki}]	['move', 'along', 'get', 'get']	[1, 1, 1, 1]	['VERB']	818.0	4	7	4	2	3	0.25			
2965	and about two yards in front of her	8	[3]	[{in, two, and}]	['yards']	[1]	['NOUN']	[1, 1, 1, 1]	[{about}, {front}, {of}, {her}]	['yards', 'yards', 'in', 'front']	[1, 1, 1, 1]	['NOUN']	818.0	4	3	4	1	-1	-0.12			
2966	that is to say she should be closer to the rear wall than you	14	[2, 2, 3, 3]	[{that, say}, {be, to}, {closer, should, she}, {than, the, rear}]	['is', 'is', 'say', 'to']	[1, 1, 1, 1]	['ADP']	[1, 1, 1]	[{to}, {wall}, {you}]	['be', 'closer', 'wall']	[1, 1, 1]	['NOUN']	818.0	3	10	3	4	7	0.5			
2967	you should be two yards in front of her	9	[3, 2]	[{should, yards, you}, {in, two}]	['be', 'be']	[1, 1]	['VERB']	[1, 1, 1]	[{front}, {of}, {her}]	['yards', 'in', 'front']	[1, 1, 1]	['NOUN']	819.0	3	5	3	2	2	0.22			
2968	and then once you are directly in alignment and two yards in front of her	15	[7, 2]	[{directly, in, yards, and, then, once, you}, {in, two}]	['are', 'are']	[1, 1]	['VERB']	[1, 1, 1, 1, 1]	[{alignment}, {and}, {front}, {of}, {her}]	['are', 'in', 'yards', 'in', 'front']	[1, 1, 1, 1, 1]	['NOUN']	819.0	5	9	5	2	4	0.27			
2969	move a few paces to your left and stop	9	[2, 3]	[{to, paces}, {your, and, stop}]	['move', 'to']	[1, 1]	['ADP']	[1, 1, 1]	[{a}, {few}, {left}]	['paces', 'move', 'move']	[1, 1, 1]	['VERB']	819.0	3	5	3	2	2	0.22			
2970	so along a diagonal from where you are till you are directly aligned with aki	15	[2, 2, 3, 5]	[{diagonal, so}, {a, from}, {you, where, aligned}, {with, directly, are, you, till}]	['along', 'along', 'from', 'are']	[1, 1, 1, 1]	['VERB']	[1, 1]	[{are}, {aki}]	['diagonal', 'aligned']	[1, 1]	['VERB']	819.0	2	12	2	4	10	0.67			
2971	but about two yards in front of her	8	[3]	[{but, two, in}]	['yards']	[1]	['NOUN']	[1, 1, 1, 1]	[{about}, {front}, {of}, {her}]	['yards', 'yards', 'in', 'front']	[1, 1, 1, 1]	['NOUN']	820.0	4	3	4	1	-1	-0.12			
2972	so that she is closer to the rear wall than you	11	[4, 3]	[{closer, so, she, that}, {the, rear, than}]	['is', 'to']	[1, 1]	['ADP']	[1, 1, 1]	[{to}, {wall}, {you}]	['is', 'closer', 'wall']	[1, 1, 1]	['NOUN']	820.0	3	7	3	2	4	0.36			
2973	and then move a few paces to your left	9	[4]	[{and, paces, to, then}]	['move']	[1]	['VERB']	[1, 1, 1, 1]	[{a}, {few}, {left}, {your}]	['paces', 'move', 'move', 'to']	[1, 1, 1, 1]	['ADP']	820.0	4	4	4	1	0	0.0			
2974	so that you are now slightly out of alignment with her and stop you	14	[7, 3]	[{you, stop, now, out, and, that, so}, {with, of, slightly}]	['are', 'are']	[1, 1]	['VERB']	[1, 1, 1]	[{alignment}, {her}, {you}]	['out', 'out', 'are']	[1, 1, 1]	['VERB']	820.0	3	10	3	2	7	0.5			
2975	mok move toward aki get as close as you can	10	[2, 3, 2]	[{toward, mok}, {can, move, close}, {as, as}]	['get', 'get', 'get']	[1, 1, 1]	['VERB']	[1, 1]	[{aki}, {you}]	['move', 'close']	[1, 1]	['ADV']	821.0	2	7	2	3	5	0.5			
2976	and then move toward the rear wall of the room for a few paces maybe a foot or two	19	[5, 3, 4]	[{foot, for, toward, then, and}, {rear, of, the}, {or, maybe, two, a}]	['move', 'toward', 'move']	[1, 1, 1]	['VERB']	[1, 1, 1, 1, 1, 1]	[{wall}, {room}, {the}, {paces}, {a}, {few}]	['move', 'wall', 'of', 'move', 'paces', 'for']	[1, 1, 1, 1, 1, 1]	['ADP']	821.0	6	12	6	3	6	0.32			
2977	and then then align yourself with aki	7	[5]	[{and, then, yourself, with, then}]	['align']	[1]	['VERB']	[1]	[{aki}]	['align']	[1]	['VERB']	821.0	1	5	1	1	4	0.57			
2978	you should be in the same straight line with her then stop	12	[4, 4]	[{in, you, stop, should}, {the, straight, same, with}]	['be', 'in']	[1, 1]	['ADP']	[1, 1, 1]	[{line}, {her}, {then}]	['be', 'line', 'be']	[1, 1, 1]	['VERB']	821.0	3	8	3	2	5	0.42			
2979	so move toward aki from where you are	8	[3, 2]	[{so, from, toward}, {where, you}]	['move', 'from']	[1, 1]	['ADP']	[1, 1]	[{aki}, {are}]	['move', 'move']	[1, 1]	['VERB']	821.0	2	5	2	2	3	0.38			
2980	and then a foot or two to the left of aki	11	[6, 2]	[{then, and, a, two, or, to}, {of, the}]	['foot', 'to']	[1, 1]	['ADP']	[1, 1]	[{left}, {aki}]	['foot', 'left']	[1, 1]	['NOUN']	822.0	2	8	2	2	6	0.55			
2981	till you are you and aki are perfectly aligned then stop	11	[5, 2, 3]	[{till, you, aligned, you, stop}, {aki, and}, {are, then, perfectly}]	['are', 'are', 'are']	[1, 1, 1]	['VERB']	[]	[]	[]	[]	[]	822.0	0	10	0	3	10	0.91			
2982	mok turn around	3	[2]	[{around, mok}]	['turn']	[1]	['VERB']	[]	[]	[]	[]	[]	822.0	0	2	0	1	2	0.67			
2983	move along a diagonal till you are aligned with aki	10	[2, 4]	[{along, aligned}, {are, with, you, till}]	['move', 'move']	[1, 1]	['VERB']	[1, 1, 1]	[{diagonal}, {a}, {aki}]	['move', 'along', 'aligned']	[1, 1, 1]	['VERB']	822.0	3	6	3	2	3	0.3			
2984	and about two yards in front of aki	8	[3]	[{two, in, and}]	['yards']	[1]	['NOUN']	[1, 1, 1, 1]	[{about}, {front}, {of}, {aki}]	['yards', 'yards', 'in', 'front']	[1, 1, 1, 1]	['NOUN']	822.0	4	3	4	1	-1	-0.12			
2985	and then move a few paces to your left and stop	11	[4, 3]	[{to, paces, and, then}, {your, stop, and}]	['move', 'to']	[1, 1]	['ADP']	[1, 1, 1]	[{a}, {few}, {left}]	['paces', 'move', 'move']	[1, 1, 1]	['VERB']	823.0	3	7	3	2	4	0.36			
2986	so turn around	3	[2]	[{so, around}]	['turn']	[1]	['VERB']	[]	[]	[]	[]	[]	823.0	0	2	0	1	2	0.67			
2987	move along a diagonal	4	[]	[]	[]	[]	[]	[1, 1, 1]	[{along}, {diagonal}, {a}]	['move', 'move', 'along']	[1, 1, 1]	['ADP']	823.0	3	0	3	0	-3	-0.75			
2988	till you are at a point that is about two yards in front of aki	15	[3, 2, 2, 2]	[{till, at, you}, {is, a}, {that, yards}, {in, two}]	['are', 'at', 'point', 'is']	[1, 1, 1, 1]	['VERB']	[1, 1, 1, 1, 1]	[{point}, {about}, {front}, {of}, {aki}]	['are', 'yards', 'yards', 'in', 'front']	[1, 1, 1, 1, 1]	['NOUN']	823.0	5	9	5	4	4	0.27			
2989	and then move a few paces to your left and stop thank you	13	[6]	[{and, stop, paces, to, and, then}]	['move']	[1]	['VERB']	[1, 1, 1, 1, 1, 1]	[{a}, {few}, {left}, {your}, {thank}, {you}]	['paces', 'move', 'move', 'to', 'move', 'stop']	[1, 1, 1, 1, 1, 1]	['VERB']	824.0	6	6	6	1	0	0.0			
2990	mok move yourself as close as you can to aki	10	[4, 2, 2]	[{yourself, mok, aki, close}, {as, can}, {as, you}]	['move', 'move', 'close']	[1, 1, 1]	['ADV']	[1]	[{to}]	['move']	[1]	['VERB']	824.0	1	8	1	3	7	0.7			
2991	stand side by side with her	6	[3]	[{by, with, side}]	['stand']	[1]	['VERB']	[1, 1]	[{side}, {her}]	['stand', 'stand']	[1, 1]	['VERB']	824.0	2	3	2	1	1	0.17			
2992	and then move about two yards forward toward the wall	10	[3, 2]	[{then, forward, and}, {yards, toward}]	['move', 'move']	[1, 1]	['VERB']	[1, 1, 1, 1]	[{about}, {two}, {wall}, {the}]	['yards', 'forward', 'forward', 'toward']	[1, 1, 1, 1]	['ADP']	824.0	4	5	4	2	1	0.1			
2993	and a few paces to the right and stop	9	[5]	[{stop, and, to, few, and}]	['paces']	[1]	['NOUN']	[1, 1, 1]	[{a}, {right}, {the}]	['paces', 'paces', 'to']	[1, 1, 1]	['ADP']	824.0	3	5	3	1	2	0.22			
2994	so get as close as you can to aki	9	[3, 2, 2]	[{close, so, aki}, {can, as}, {as, you}]	['get', 'get', 'close']	[1, 1, 1]	['ADJ']	[1]	[{to}]	['get']	[1]	['VERB']	824.0	1	7	1	3	6	0.67			
2995	and then keep going for about two yards	8	[3]	[{and, going, then}]	['keep']	[1]	['VERB']	[1, 1, 1, 1]	[{for}, {yards}, {about}, {two}]	['keep', 'going', 'yards', 'for']	[1, 1, 1, 1]	['ADP']	825.0	4	3	4	1	-1	-0.12			
2996	going forward toward the left wall of the room	9	[2, 3]	[{forward, toward}, {the, left, of}]	['going', 'toward']	[1, 1]	['ADP']	[1, 1, 1]	[{wall}, {room}, {the}]	['going', 'wall', 'of']	[1, 1, 1]	['ADP']	825.0	3	5	3	2	2	0.22			
2997	and then move a few paces to the right	9	[4]	[{paces, then, to, and}]	['move']	[1]	['VERB']	[1, 1, 1, 1]	[{a}, {few}, {right}, {the}]	['paces', 'move', 'move', 'to']	[1, 1, 1, 1]	['ADP']	825.0	4	4	4	1	0	0.0			
2998	so that you are out of alignment with aki by a few paces stop	14	[6, 2]	[{out, by, you, that, so, stop}, {few, a}]	['are', 'by']	[1, 1]	['ADP']	[1, 1, 1, 1, 1]	[{of}, {alignment}, {with}, {aki}, {paces}]	['are', 'out', 'of', 'alignment', 'are']	[1, 1, 1, 1, 1]	['VERB']	825.0	5	8	5	2	3	0.21			
2999	mok turn around	3	[2]	[{mok, around}]	['turn']	[1]	['VERB']	[]	[]	[]	[]	[]	825.0	0	2	0	1	2	0.67			
3000	move along a diagonal	4	[]	[]	[]	[]	[]	[1, 1, 1]	[{along}, {diagonal}, {a}]	['move', 'move', 'along']	[1, 1, 1]	['ADP']	825.0	3	0	3	0	-3	-0.75			
3001	so that you are at a point that is about two yards in front of aki	16	[4, 2, 2, 2]	[{so, at, that, you}, {is, a}, {that, yards}, {in, two}]	['are', 'at', 'point', 'is']	[1, 1, 1, 1]	['VERB']	[1, 1, 1, 1, 1]	[{point}, {about}, {front}, {of}, {aki}]	['are', 'yards', 'yards', 'in', 'front']	[1, 1, 1, 1, 1]	['NOUN']	826.0	5	10	5	4	5	0.31			
3002	and directly aligned with her	5	[3]	[{with, directly, and}]	['aligned']	[1]	['VERB']	[1]	[{her}]	['aligned']	[1]	['VERB']	826.0	1	3	1	1	2	0.4			
3003	and then from that point move a few paces to your left and stop	14	[7]	[{stop, and, then, from, paces, to, and}]	['move']	[1]	['VERB']	[1, 1, 1, 1, 1, 1]	[{point}, {that}, {a}, {few}, {left}, {your}]	['move', 'from', 'paces', 'move', 'move', 'to']	[1, 1, 1, 1, 1, 1]	['ADP']	826.0	6	7	6	1	1	0.07			
3004	so turn around	3	[2]	[{around, so}]	['turn']	[1]	['VERB']	[]	[]	[]	[]	[]	826.0	0	2	0	1	2	0.67			
3005	move along a diagonal till you are directly aligned with aki	11	[2, 5]	[{along, aligned}, {directly, are, you, till, with}]	['move', 'move']	[1, 1]	['VERB']	[1, 1, 1]	[{diagonal}, {a}, {aki}]	['move', 'along', 'aligned']	[1, 1, 1]	['VERB']	827.0	3	7	3	2	4	0.36			
3006	and about two yards in front of her	8	[3]	[{two, in, and}]	['yards']	[1]	['NOUN']	[1, 1, 1, 1]	[{about}, {front}, {of}, {her}]	['yards', 'yards', 'in', 'front']	[1, 1, 1, 1]	['NOUN']	827.0	4	3	4	1	-1	-0.12			
3007	and then move slightly to your left a few paces to your left and stop thank you	17	[6, 2, 3]	[{to, slightly, stop, and, then, and}, {left, paces}, {few, a, to}]	['move', 'move', 'to']	[1, 1, 1]	['ADP']	[1, 1, 1, 1, 1]	[{your}, {left}, {your}, {thank}, {you}]	['to', 'paces', 'to', 'move', 'stop']	[1, 1, 1, 1, 1]	['VERB']	827.0	5	11	5	3	6	0.35			
3008	mok turn around	3	[2]	[{mok, around}]	['turn']	[1]	['VERB']	[]	[]	[]	[]	[]	827.0	0	2	0	1	2	0.67			
3009	and move so that you are as close as you can get to aki	14	[2, 4, 2, 4]	[{and, are}, {that, you, so, close}, {get, as}, {you, can, as, aki}]	['move', 'move', 'are', 'close']	[1, 1, 1, 1]	['ADJ']	[1]	[{to}]	['get']	[1]	['VERB']	827.0	1	12	1	4	11	0.79			
3010	and then from that point move	6	[3]	[{and, then, from}]	['move']	[1]	['NOUN']	[1, 1]	[{point}, {that}]	['move', 'from']	[1, 1]	['ADP']	827.0	2	3	2	1	1	0.17			
3011	keep moving so that you are closer to the left hand wall of the room	15	[2, 4, 3]	[{moving, are}, {closer, you, so, that}, {of, hand, the}]	['keep', 'keep', 'to']	[1, 1, 1]	['ADP']	[1, 1, 1, 1, 1]	[{to}, {wall}, {left}, {room}, {the}]	['are', 'closer', 'wall', 'wall', 'of']	[1, 1, 1, 1, 1]	['ADP']	828.0	5	9	5	3	4	0.27			
3012	than she is and about two yards in front of her	11	[4, 2]	[{than, and, yards, she}, {two, in}]	['is', 'is']	[1, 1]	['VERB']	[1, 1, 1, 1]	[{about}, {front}, {of}, {her}]	['yards', 'yards', 'in', 'front']	[1, 1, 1, 1]	['NOUN']	828.0	4	6	4	2	2	0.18			
3013	and then move a few paces to your right and stop	11	[6]	[{paces, stop, and, then, and, to}]	['move']	[1]	['VERB']	[1, 1, 1, 1]	[{a}, {few}, {right}, {your}]	['paces', 'move', 'move', 'to']	[1, 1, 1, 1]	['ADP']	828.0	4	6	4	1	2	0.18			
3014	so position yourself adjacent to aki to start	8	[4, 2]	[{adjacent, so, aki, yourself}, {start, to}]	['position', 'position']	[1, 1]	['VERB']	[1]	[{to}]	['aki']	[1]	['VERB']	829.0	1	6	1	2	5	0.62			
3015	and then keep going forward toward the left hand wall of the room	13	[3, 2, 3]	[{and, then, going}, {forward, toward}, {hand, of, the}]	['keep', 'keep', 'toward']	[1, 1, 1]	['ADP']	[1, 1, 1, 1]	[{wall}, {left}, {room}, {the}]	['going', 'wall', 'wall', 'of']	[1, 1, 1, 1]	['ADP']	829.0	4	8	4	3	4	0.31			
3016	and then till you are about two yards or so ahead of aki	13	[5, 2, 2]	[{till, you, and, ahead, then}, {two, so}, {of, yards}]	['are', 'ahead', 'are']	[1, 1, 1]	['VERB']	[1, 1, 1]	[{about}, {or}, {aki}]	['yards', 'yards', 'ahead']	[1, 1, 1]	['ADV']	829.0	3	9	3	3	6	0.46			
3017	and then move a few paces to the right	9	[4]	[{and, paces, to, then}]	['move']	[1]	['VERB']	[1, 1, 1, 1]	[{a}, {few}, {right}, {the}]	['paces', 'move', 'move', 'to']	[1, 1, 1, 1]	['ADP']	830.0	4	4	4	1	0	0.0			
3018	get yourself out of alignment with aki by a few paces	11	[4, 2]	[{yourself, out, by, with}, {few, a}]	['get', 'by']	[1, 1]	['ADP']	[1, 1, 1, 1]	[{of}, {alignment}, {aki}, {paces}]	['get', 'out', 'get', 'get']	[1, 1, 1, 1]	['VERB']	830.0	4	6	4	2	2	0.18			
3019	and then stop thank you	5	[3]	[{then, thank, and}]	['stop']	[1]	['VERB']	[1]	[{you}]	['stop']	[1]	['VERB']	831.0	1	3	1	1	2	0.4			
3020	mok move toward aki position yourself side by side with her	11	[2, 4]	[{mok, toward}, {with, side, aki, by}]	['move', 'toward']	[1, 1]	['ADP']	[1, 1, 1, 1]	[{position}, {yourself}, {side}, {her}]	['move', 'position', 'position', 'position']	[1, 1, 1, 1]	['VERB']	831.0	4	6	4	2	2	0.18			
3021	and then keep moving forward toward the left hand wall	10	[3, 2, 3]	[{and, then, moving}, {forward, toward}, {hand, left, the}]	['keep', 'keep', 'toward']	[1, 1, 1]	['ADP']	[1]	[{wall}]	['moving']	[1]	['VERB']	831.0	1	8	1	3	7	0.7			
3022	till you are about two yards in front of aki	10	[3, 2]	[{yards, till, you}, {two, in}]	['are', 'are']	[1, 1]	['VERB']	[1, 1, 1, 1]	[{about}, {front}, {of}, {aki}]	['yards', 'yards', 'in', 'front']	[1, 1, 1, 1]	['NOUN']	831.0	4	5	4	2	1	0.1			
3023	and then move a few paces to your right and stop	11	[6]	[{and, paces, to, and, then, stop}]	['move']	[1]	['VERB']	[1, 1, 1, 1]	[{a}, {few}, {right}, {your}]	['paces', 'move', 'move', 'to']	[1, 1, 1, 1]	['ADP']	832.0	4	6	4	1	2	0.18			
3024	so toward aki position yourself next to her	8	[2, 3]	[{position, so}, {yourself, aki, next}]	['toward', 'toward']	[1, 1]	['ADP']	[1, 1]	[{to}, {her}]	['position', 'next']	[1, 1]	['ADV']	832.0	2	5	2	2	3	0.38			
